vendorid2,paymenttype1,paymenttype2,pulocationid237,pulocationid161,pulocationid236,pulocationid186,pulocationid162,dolocationid161,dolocationid236,dolocationid237,dolocationid230,dolocationid170,tpeppickupdatetimehour0,tpeppickupdatetimehour1,tpeppickupdatetimehour2,tpepdropoffdatetimehour0,tpepdropoffdatetimehour1,tpepdropoffdatetimehour2,passengercount,tripdistance,fareamount,tipamount,totalamount,duration
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.3333333333333333,0.17370129870129872,0.3018867924528302,0.0,0.31653746770025837,600.0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.3333333333333333,0.37337662337662336,0.49056603773584906,0.0,0.4457364341085271,1080.0
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1.0,0.47889610389610393,0.5094339622641509,0.0,0.4780361757105943,960.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.2922077922077922,0.3584905660377358,0.0,0.3488372093023256,733.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.10227272727272728,0.16981132075471697,0.19047619047619047,0.22480620155038758,240.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.3333333333333333,0.21103896103896105,0.2641509433962264,0.0,0.251937984496124,440.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,0.5227272727272727,0.43396226415094336,0.5451559934318555,0.5368217054263565,600.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.17694805194805197,0.24528301886792453,0.16420361247947454,0.2680878552971576,410.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.16666666666666666,0.12824675324675325,0.2641509433962264,0.0,0.2680878552971576,480.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.16666666666666666,0.17857142857142858,0.20754716981132074,0.22167487684729065,0.26324289405684753,324.0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.4431818181818182,0.7735849056603773,0.7323481116584565,0.8643410852713178,2038.0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.16666666666666666,0.3084415584415584,0.33962264150943394,0.0,0.332687338501292,540.0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.8333333333333333,0.46266233766233766,0.4716981132075472,0.16420361247947454,0.46188630490956073,960.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.2922077922077922,0.43396226415094336,0.0,0.4134366925064599,1020.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.13474025974025974,0.22641509433962265,0.11494252873563217,0.24224806201550386,360.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.6818181818181819,0.830188679245283,0.7487684729064038,0.883720930232558,1890.0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.25974025974025977,0.4150943396226415,0.0,0.4134366925064599,948.0
